"function_id";"function_path";"function_name";"error_count"
"4413";"drivers/char/broadcom/bcm2835-gpiomem.c";"bcm2835_gpiomem_probe";"4"
"1007";"drivers/char/broadcom/vc_cma/vc_cma.c";"cma_worker_proc";"1"
"1009";"drivers/char/broadcom/vc_cma/vc_cma.c";"vc_cma_alloc_chunks";"1"
"1528";"drivers/char/broadcom/vc_sm/vmcs_sm.c";"vc_sm_ioctl";"1"
"5868";"drivers/char/exynos-gpiomem.c";"exynos_gpiomem_mmap";"2"
"3851";"drivers/char/hpet.c";"hpet_release";"1"
"3852";"drivers/char/hpet.c";"hpet_timer_set_irq";"1"
"9206";"drivers/char/ipmi/ipmi_bt_i2c.c";"ipmi_bt_i2c_receive_response";"1"
"5923";"drivers/char/ipmi/ipmi_msghandler.c";"ipmi_smi_msg_received";"1"
"6791";"drivers/char/ipmi/ipmi_ssif.c";"ssif_probe";"1"
"4399";"drivers/char/misc.c";"of_misc_get";"1"
"1131";"drivers/char/pcmcia/scr24x_cs.c";"scr24x_delete";"1"
"1293";"drivers/char/pcmcia/scr24x_cs.c";"scr24x_open";"1"
"1130";"drivers/char/pcmcia/scr24x_cs.c";"scr24x_probe";"1"
"9397";"drivers/char/ppdev.c";"pp_compat_ioctl";"1"
"3828";"drivers/char/tpm/tpm-chip.c";"tpm_add_char_device";"1"
"3829";"drivers/char/tpm/tpm-chip.c";"tpm_del_char_device";"1"
"6785";"drivers/char/tpm/tpm_efi.c";"tpm_read_log_efi";"1"
"660";"drivers/char/tpm/tpm_tis.c";"disable_lpc_clk_run";"1"
"3016";"drivers/char/tpm/tpm_tis_core.c";"tpm_tis_core_init";"1"
"7822";"drivers/clk/at91/clk-generated.c";"at91_clk_register_generated";"1"
"2167";"drivers/clk/bcm/clk-ns-ilp.c";"ns_ilp_init";"1"
"728";"drivers/clk/clk-allo-dac.c";"clk_allo_dac_probe";"1"
"730";"drivers/clk/clk-allo-dac.c";"clk_allo_dac_remove";"1"
"7132";"drivers/clk/clk-arizona.c";"arizona_clk_of_get_pdata";"2"
"7133";"drivers/clk/clk-arizona.c";"arizona_clk_probe";"1"
"7134";"drivers/clk/clk-arizona.c";"clk32k_to_arizona_clk";"1"
"4772";"drivers/clk/clk-devres.c";"devm_of_clk_get";"1"
"3801";"drivers/clk/clk-divider.c";"of_divider_clk_setup";"1"
"2861";"drivers/clk/clk-fixed-factor.c";"of_fixed_factor_clk_setup";"1"
"4410";"drivers/clk/clk-hifiberry-dacpro.c";"clk_hifiberry_dacpro_probe";"2"
"4409";"drivers/clk/clk-hifiberry-dacpro.c";"clk_hifiberry_dacpro_recalc_rate";"1"
"4411";"drivers/clk/clk-hifiberry-dacpro.c";"clk_hifiberry_dacpro_remove";"2"
"7385";"drivers/clk/clk-ls1x.c";"ls1x_clk_init";"1"
"4135";"drivers/clk/clk-palmas.c";"palmas_clk_probe";"1"
"8115";"drivers/clk/clk-stm32f4.c";"stm32f4_rcc_init";"1"
